Time,A5,A6,A7,A8
6,0.017,0.015,0.004,0.005
1440,0.009,0.003,0.005,0.002
2880,0.007,0.003,0.005,0.004
4320,0.004,0.008,0.004,0.003
5760,0.01,0.004,0.004,0.007
7200,0.031,0.014,0.047,0.016
8640,0.031,0.023,0.034,0.036
10080,0.044,0.033,0.036,0.031
11520,0.041,0.022,0.054,0.035
12960,0.026,0.016,0.024,0.012
14400,0.033,0.011,0.021,0.026
17280,0.159,0.214,0.225,0.217
18240,0.224,0.325,0.387,0.321
18720,0.268,0.432,0.494,0.449
19200,0.344,0.56,0.622,0.66
19680,0.451,0.682,0.875,0.811
20160,0.601,0.952,1.116,1.097
20700,0.853,1.326,1.486,1.451
21120,1.154,1.628,1.79,1.758
21600,1.494,1.898,2.064,2.023
22080,1.786,2.144,2.315,2.238
22560,2.05,2.3,2.497,2.454
23040,2.255,2.453,2.635,2.649
23640,2.507,2.595,2.742,2.83
24000,2.603,2.618,2.855,2.832
24480,2.7,2.785,2.932,2.974
24960,2.831,2.767,3.002,3.088
25440,2.786,2.772,3.026,3.03
25920,2.89,2.874,3.03,3.046